Nom;Sexe;Chapeau;Cheveux blonds;Cheveux bruns;Cheveux noirs;Cheveux roux;Cheveux blancs;Yeux;Lunettes;Barbe;Moustache;Nez;Bouche;Boucle d'oreille
Roger;est un homme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;a une barbe;a une moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Frank;est un homme;a un chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;a les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;n'a pas de barbe;n'a pas de moustache;a un gros nez;a une grande bouche;n'a pas de boucle d'oreille
Eric;est un homme;a un chapeau;a les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;n'a pas de barbe;n'a pas de moustache;a un petit nez;a une grande bouche;n'a pas de boucle d'oreille
Carmen;est une femme;n'a pas de chapeau;n'a pas les cheveux blonds;a les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;n'a pas de barbe;n'a pas de moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Daniel;est un homme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux bleus;a des lunettes;n'a pas de barbe;n'a pas de moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Bernard;est un homme;a un chapeau;n'a pas les cheveux blonds;a les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;n'a pas de barbe;n'a pas de moustache;a un gros nez;a une petite bouche;n'a pas de boucle d'oreille
Lucas;est un homme;n'a pas de chapeau;a les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;a une barbe;a une moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Isabelle;est une femme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;a les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;n'a pas de barbe;n'a pas de moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Philippe;est un homme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;n'a pas de lunettes;a une barbe;n'a pas de moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Paul;est un homme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;n'a pas les cheveux roux;a les cheveux blancs;a les yeux marrons;a des lunettes;a une barbe;n'a pas de moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Stephen;est un homme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;n'a pas les cheveux noirs;a les cheveux roux;n'a pas les cheveux blancs;a les yeux bleus;n'a pas de lunettes;n'a pas de barbe;a une moustache;a un petit nez;a une petite bouche;n'a pas de boucle d'oreille
Sophie;est une femme;n'a pas de chapeau;n'a pas les cheveux blonds;n'a pas les cheveux bruns;a les cheveux noirs;n'a pas les cheveux roux;n'a pas les cheveux blancs;a les yeux marrons;a des lunettes;n'a pas de barbe;n'a pas de moustache;a un gros nez;a une grande bouche;n'a pas de boucle d'oreille
